filename,resolved_model,amusement,anger,awe,contentment,disgust,excitement,fear,sadness
amusement/amusement_02938.mp3,openai/gpt-4o-mini,0.45,0.65,0.1,0.5,0.2,0.6,0.7,0.4
amusement/amusement_02946.mp3,openai/gpt-4o-mini,0.65,0.1,0.05,0.5,0.2,0.4,0.6,0.3
amusement/amusement_08239.mp3,openai/gpt-4o-mini,0.55,0.15,0.0,0.25,0.85,0.7,0.75,0.65
amusement/amusement_08302.mp3,openai/gpt-4o-mini,0.65,0.0,0.1,0.75,0.1,0.6,0.3,0.2
amusement/amusement_08316.mp3,openai/gpt-4o-mini,0.45,0.1,0.2,0.05,0.4,0.5,0.7,0.3
amusement/amusement_17644.mp3,openai/gpt-4o-mini,0.85,0.45,0.35,0.6,0.02,0.7,0.5,0.3
amusement/amusement_17647.mp3,openai/gpt-4o-mini,0.75,0.45,0.55,0.35,0.15,0.7,0.5,0.2
amusement/amusement_18892.mp3,openai/gpt-4o-mini,0.75,0.25,0.1,0.4,0.3,0.6,0.5,0.4
amusement/amusement_19692.mp3,openai/gpt-4o-mini,0.65,0.25,0.75,0.4,0.05,0.5,0.6,0.1
anger/anger_01989.mp3,openai/gpt-4o-mini,0.5,0.6,0.5,0.3,0.2,0.8,0.1,0.4
anger/anger_02002.mp3,openai/gpt-4o-mini,0.55,0.85,0.35,0.0,0.25,0.75,0.65,0.3
anger/anger_02010.mp3,openai/gpt-4o-mini,0.4,0.1,0.3,0.0,0.05,0.6,0.2,0.4
anger/anger_04337.mp3,openai/gpt-4o-mini,0.6,0.8,0.7,0.5,0.0,0.9,0.1,0.6
anger/anger_08253.mp3,openai/gpt-4o-mini,0.55,0.75,0.45,0.0,0.25,0.8,0.5,0.3
anger/anger_09078.mp3,openai/gpt-4o-mini,0.45,0.75,0.55,0.1,0.3,0.5,0.4,0.2
awe/awe_09117.mp3,openai/gpt-4o-mini,0.55,0.1,1.0,0.7,0.0,0.4,0.15,0.3
awe/awe_09139.mp3,openai/gpt-4o-mini,0.25,0.15,0.85,0.05,0.1,0.2,0.1,0.3
awe/awe_09148.mp3,openai/gpt-4o-mini,0.45,0.1,0.8,0.65,0.0,0.5,0.1,0.3
awe/awe_09150.mp3,openai/gpt-4o-mini,0.39,0.1,0.35,0.3,0.0,0.4,0.15,0.05
awe/awe_09155.mp3,openai/gpt-4o-mini,0.25,0.15,0.75,0.05,0.25,0.2,0.15,0.1
awe/awe_09172.mp3,openai/gpt-4o-mini,0.55,0.15,0.85,0.65,0.0,0.6,0.2,0.3
contentment/contentment_09986.mp3,openai/gpt-4o-mini,0.45,0.1,0.9,0.8,0.3,0.5,0.0,0.2
contentment/contentment_10003.mp3,openai/gpt-4o-mini,0.25,0.0,0.05,0.75,0.6,0.4,0.1,0.35
contentment/contentment_10023.mp3,openai/gpt-4o-mini,0.35,0.0,0.55,0.4,0.3,0.1,0.1,0.1
contentment/contentment_10027.mp3,openai/gpt-4o-mini,0.4,0.1,0.5,0.7,0.3,0.1,0.2,0.4
contentment/contentment_10029.mp3,openai/gpt-4o-mini,0.55,0.1,0.5,0.75,0.02,0.7,0.0,0.5
contentment/contentment_10032.mp3,openai/gpt-4o-mini,0.5,0.1,0.3,0.7,0.05,0.25,0.2,0.1
contentment/contentment_10033.mp3,openai/gpt-4o-mini,0.45,0.0,0.3,0.85,0.5,0.2,0.25,0.15
disgust/disgust_02058.mp3,openai/gpt-4o-mini,0.1,0.6,0.0,0.5,1.0,0.05,0.3,0.25
disgust/disgust_02529.mp3,openai/gpt-4o-mini,0.5,0.6,0.4,0.2,0.3,0.5,0.1,0.8
disgust/disgust_02553.mp3,openai/gpt-4o-mini,0.25,0.15,0.45,0.8,1.0,0.05,0.4,0.55
disgust/disgust_04041.mp3,openai/gpt-4o-mini,0.5,0.1,0.4,0.6,0.9,0.7,0.8,0.9
disgust/disgust_06427.mp3,openai/gpt-4o-mini,0.35,0.75,0.85,0.9,0.0,0.55,0.0,0.65
disgust/disgust_10795.mp3,openai/gpt-4o-mini,0.45,0.75,0.2,0.1,0.5,0.6,0.7,0.4
excitement/excitement_07981.mp3,openai/gpt-4o-mini,0.45,0.15,0.55,0.65,0.2,0.75,0.1,0.0
excitement/excitement_07982.mp3,openai/gpt-4o-mini,0.45,0.4,0.0,0.6,0.15,1.0,0.5,0.45
excitement/excitement_07984.mp3,openai/gpt-4o-mini,0.55,0.4,0.75,0.5,0.0,0.8,0.4,0.2
excitement/excitement_08026.mp3,openai/gpt-4o-mini,0.45,0.1,0.2,0.7,0.0,0.8,0.3,0.1
excitement/excitement_08037.mp3,openai/gpt-4o-mini,0.55,0.01,0.65,0.75,0.25,0.85,0.25,0.02
excitement/excitement_15991.mp3,openai/gpt-4o-mini,0.45,0.15,0.75,0.5,0.05,0.8,0.3,0.0
fear/fear_03308.mp3,openai/gpt-4o-mini,0.25,0.75,0.5,0.0,0.65,0.3,1.0,0.1
fear/fear_03314.mp3,openai/gpt-4o-mini,0.15,0.75,0.1,0.05,0.5,0.7,1.0,0.0
fear/fear_09171.mp3,openai/gpt-4o-mini,0.25,0.35,0.25,0.05,0.55,0.4,0.85,0.1
fear/fear_09195.mp3,openai/gpt-4o-mini,0.35,0.65,0.4,0.0,0.3,0.4,0.85,0.55
fear/fear_09208.mp3,openai/gpt-4o-mini,0.45,0.65,0.55,0.1,0.5,0.6,0.4,0.2
fear/fear_09248.mp3,openai/gpt-4o-mini,0.25,0.35,0.4,0.5,0.3,0.6,0.7,0.1
sadness/sadness_03448.mp3,openai/gpt-4o-mini,0.75,0.25,0.55,0.5,0.2,0.25,0.0,0.9
sadness/sadness_03457.mp3,openai/gpt-4o-mini,0.32,0.25,0.75,0.0,0.2,0.5,0.6,1.0
sadness/sadness_07944.mp3,openai/gpt-4o-mini,0.35,0.1,0.5,0.6,0.4,0.1,0.0,0.9
sadness/sadness_07946.mp3,openai/gpt-4o-mini,0.45,0.1,0.85,0.75,0.35,0.1,0.4,1.0
sadness/sadness_07963.mp3,openai/gpt-4o-mini,0.65,0.25,0.85,0.75,0.45,0.5,0.1,0.9
sadness/sadness_07975.mp3,openai/gpt-4o-mini,0.45,0.25,0.65,0.5,0.2,0.1,0.4,0.85
