filename,resolved_model,amusement,anger,awe,contentment,disgust,excitement,fear,sadness
amusement/amusement_02943.mp3,deepseek/deepseek-chat-v3,0.45,0.0,0.3,0.4,0.0,0.5,0.1,0.0
amusement/amusement_08269.mp3,deepseek/deepseek-chat-v3,0.65,0.15,0.59,0.28,0.45,0.41,0.23,0.0
amusement/amusement_08310.mp3,deepseek/deepseek-chat-v3,0.25,0.3,0.1,0.2,0.1,0.6,0.3,0.1
amusement/amusement_08339.mp3,deepseek/deepseek-chat-v3,0.75,0.15,0.35,0.42,0.12,0.52,0.22,0.18
amusement/amusement_17647.mp3,deepseek/deepseek-chat-v3,0.73,0.15,0.42,0.51,0.03,0.44,0.28,0.33
amusement/amusement_17660.mp3,deepseek/deepseek-chat-v3,0.42,0.45,0.47,0.25,0.02,0.57,0.52,0.29
amusement/amusement_19692.mp3,deepseek/deepseek-chat-v3,0.39,0.06,0.32,0.23,0.05,0.29,0.19,0.05
anger/anger_01988.mp3,deepseek/deepseek-chat-v3,0.35,0.48,0.33,0.46,0.0,0.68,0.0,0.0
anger/anger_02004.mp3,deepseek/deepseek-chat-v3,0.32,0.47,0.43,0.37,0.27,0.41,0.39,0.34
anger/anger_04345.mp3,deepseek/deepseek-chat-v3,0.45,0.35,0.65,0.25,0.55,0.3,0.2,0.4
anger/anger_08256.mp3,deepseek/deepseek-chat-v3,0.42,0.17,0.0,0.45,0.0,0.67,0.0,0.18
anger/anger_08262.mp3,deepseek/deepseek-chat-v3,0.12,0.19,0.23,0.19,0.0,0.07,0.0,0.0
anger/anger_10052.mp3,deepseek/deepseek-chat-v3,0.2,0.1,0.3,0.0,0.1,0.2,0.1,0.0
awe/awe_09141.mp3,deepseek/deepseek-chat-v3,0.42,0.29,0.48,0.38,0.05,0.41,0.14,0.08
awe/awe_09142.mp3,deepseek/deepseek-chat-v3,0.45,0.12,0.68,0.35,0.0,0.25,0.18,0.1
awe/awe_09144.mp3,deepseek/deepseek-chat-v3,0.47,0.16,0.42,0.52,0.06,0.36,0.1,0.07
awe/awe_09154.mp3,deepseek/deepseek-chat-v3,0.45,0.0,0.42,0.32,0.0,0.37,0.0,0.0
awe/awe_09165.mp3,deepseek/deepseek-chat-v3,0.48,0.23,0.48,0.48,0.62,0.51,0.25,0.45
awe/awe_14548.mp3,deepseek/deepseek-chat-v3,0.32,0.12,0.25,0.38,0.08,0.38,0.13,0.18
contentment/contentment_09968.mp3,deepseek/deepseek-chat-v3,0.35,0.2,0.45,0.4,0.3,0.3,0.25,0.35
contentment/contentment_09985.mp3,deepseek/deepseek-chat-v3,0.35,0.2,0.21,0.21,0.12,0.25,0.13,0.05
contentment/contentment_09991.mp3,deepseek/deepseek-chat-v3,0.34,0.0,0.41,0.42,0.01,0.35,0.02,0.12
contentment/contentment_09996.mp3,deepseek/deepseek-chat-v3,0.42,0.0,0.52,0.51,0.02,0.42,0.32,0.32
contentment/contentment_09997.mp3,deepseek/deepseek-chat-v3,0.35,0.0,0.3,0.6,0.2,0.3,0.2,0.1
contentment/contentment_10017.mp3,deepseek/deepseek-chat-v3,0.45,0.2,0.55,0.28,0.18,0.42,0.18,0.2
